"user_id","profile","cleaning_efficiency","consumables","comparison","time"
"1001","65 sqm apartment | single user | hardwood floors","coverage:85%; daily cleaning:45 sqm; missed area:under sofa due to low clearance","main brush life:60 days left; HEPA filter:40 percent remaining","better than 65 percent of similar-size homes due to higher cleaning frequency","2025-01"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:9 times per month; auto-return success:90 percent","main brush tangling:high; filter replacement:overdue","filter replacement should be completed immediately","2025-04"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:90 percent; scheduled cleaning:1 time per week","battery degradation:30 percent; water tank:not activated","scheduled cleaning adoption improved slightly","2025-04"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:3 per week; toy avoidance:77 percent","side brush replacement:due; dust bag use:1 per month","toy pickup before cleaning is recommended","2025-04"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:92%; daily cleaning:38 sqm; edge cleaning:stable","filter life:65 days left; dustbin cleared:every 5 days","excellent small-home cleaning consistency","2025-04"
"1001","65 sqm apartment | single user | hardwood floors","coverage:88%; daily cleaning:49 sqm; missed area:under sofa stable","main brush life:40 days left; HEPA filter:25 percent remaining","strong daily cleaning consistency","2025-05"
"1002","70 sqm apartment | couple | tile floors","coverage:90%; cable tangles:1 per week","side brush wear:moderate; dustbin cleared:every 2 days","obstacle prep improved versus prior month","2025-05"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:88%; carpet boost used:19 times per month","rubber brush life:5 days left; dustbin:emptied daily","replace rubber brush now to avoid pickup decline","2025-05"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:11 times per month; auto-return success:89 percent","main brush tangling:high; filter replacement:critical","filter and brush maintenance are critical","2025-05"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:88 percent; scheduled cleaning:2 times per week","battery degradation:31 percent; water tank:not activated","automation usage is improving","2025-05"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:2 per week; toy avoidance:80 percent","side brush replacement:completed; dust bag use:1 per month","maintenance improved after side brush replacement","2025-05"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:92%; daily cleaning:39 sqm; edge cleaning:stable","filter life:60 days left; dustbin cleared:every 5 days","performance is stable and efficient","2025-05"
"1001","65 sqm apartment | single user | hardwood floors","coverage:89%; daily cleaning:50 sqm; missed area:minor under sofa","main brush life:35 days left; HEPA filter:22 percent remaining","above-average cleaning frequency continues","2025-06"
"1002","70 sqm apartment | couple | tile floors","coverage:90%; cable tangles:1 per week","side brush wear:high; dustbin cleared:every 2 days","side brush replacement is recommended soon","2025-06"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:86%; carpet boost used:20 times per month","rubber brush life:expired; dustbin:emptied daily","hair pickup is declining due to worn brush","2025-06"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:12 times per month; auto-return success:88 percent","main brush tangling:high; filter replacement:critical","consumable condition is reducing performance","2025-06"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:86 percent; scheduled cleaning:2 times per week","battery degradation:33 percent; water tank:not activated","battery health should be monitored","2025-06"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:2 per week; toy avoidance:81 percent","side brush condition:good; dust bag use:1 per month","large-home usage is stable","2025-06"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:93%; daily cleaning:40 sqm; edge cleaning:stable","filter life:55 days left; dustbin cleared:every 5 days","excellent efficiency for small apartment use","2025-06"
"1001","65 sqm apartment | single user | hardwood floors","coverage:89%; daily cleaning:50 sqm; missed area:minor under sofa","main brush life:30 days left; HEPA filter:20 percent remaining","maintenance should be scheduled soon","2025-07"
"1002","70 sqm apartment | couple | tile floors","coverage:91%; cable tangles:1 per week","side brush wear:high; dustbin cleared:every 2 days","replace side brush to preserve corner cleaning","2025-07"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:85%; carpet boost used:21 times per month","rubber brush:replacement overdue; dustbin:emptied daily","brush replacement is urgent","2025-07"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:11 times per month; auto-return success:87 percent","main brush tangling:severe; filter replacement:critical","recommend deep maintenance and consumable replacement","2025-07"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:84 percent; scheduled cleaning:3 times per week","battery degradation:34 percent; water tank:not activated","scheduled automation is improving","2025-07"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:1 per week; toy avoidance:82 percent","side brush condition:good; dust bag use:1 per month","obstacle handling improved","2025-07"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:93%; daily cleaning:40 sqm; edge cleaning:stable","filter life:50 days left; dustbin cleared:every 5 days","stable performance with low maintenance risk","2025-07"
"1001","65 sqm apartment | single user | hardwood floors","coverage:90%; daily cleaning:51 sqm; missed area:minor under sofa","main brush life:25 days left; HEPA filter:18 percent remaining","filter replacement should be planned","2025-08"
"1002","70 sqm apartment | couple | tile floors","coverage:91%; cable tangles:1 per week","side brush replacement:due; dustbin cleared:every 2 days","corner cleaning may decline without replacement","2025-08"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:84%; carpet boost used:22 times per month","rubber brush:replacement overdue; filter:35 percent remaining","pet hair performance is below prior months","2025-08"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:12 times per month; auto-return success:86 percent","main brush tangling:severe; filter replacement:critical","high-risk maintenance state","2025-08"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:82 percent; scheduled cleaning:3 times per week","battery degradation:35 percent; water tank:not activated","consider battery inspection","2025-08"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:1 per week; toy avoidance:83 percent","side brush condition:good; dust bag use:1 per month","large-home coverage is improving","2025-08"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:94%; daily cleaning:41 sqm; edge cleaning:stable","filter life:45 days left; dustbin cleared:every 5 days","strong small-home performance","2025-08"
"1001","65 sqm apartment | single user | hardwood floors","coverage:90%; daily cleaning:52 sqm; missed area:minor under sofa","main brush life:20 days left; HEPA filter:15 percent remaining","consumable replacement is approaching","2025-09"
"1002","70 sqm apartment | couple | tile floors","coverage:92%; cable tangles:0 to 1 per week","side brush replacement:recommended; dustbin cleared:every 2 days","obstacle preparation is good","2025-09"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:83%; carpet boost used:22 times per month","rubber brush:replacement overdue; filter:30 percent remaining","replace brush to restore hair pickup","2025-09"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:13 times per month; auto-return success:86 percent","main brush tangling:severe; filter replacement:critical","urgent brush and filter maintenance needed","2025-09"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:80 percent; scheduled cleaning:4 times per week","battery degradation:36 percent; water tank:not activated","automation improved but battery health is declining","2025-09"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:1 per week; toy avoidance:84 percent","side brush condition:good; dust bag use:1 per month","performance is healthy for a large multi-level home","2025-09"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:94%; daily cleaning:41 sqm; edge cleaning:stable","filter life:40 days left; dustbin cleared:every 5 days","performance remains strong","2025-09"
"1001","65 sqm apartment | single user | hardwood floors","coverage:91%; daily cleaning:52 sqm; missed area:minor under sofa","main brush life:15 days left; HEPA filter:12 percent remaining","replace filter soon and plan main brush replacement","2025-10"
"1002","70 sqm apartment | couple | tile floors","coverage:92%; cable tangles:0 to 1 per week","side brush replacement:recommended; dustbin cleared:every 2 days","replace side brush to maintain corner coverage","2025-10"
"1003","90 sqm home | one dog | low-pile carpet","pet hair pickup:82%; carpet boost used:23 times per month","rubber brush:replacement overdue; filter:25 percent remaining","hair pickup is degraded by overdue brush replacement","2025-10"
"1004","85 sqm home | two cats | mixed floors","cat litter cleanup:13 times per month; auto-return success:85 percent","main brush tangling:severe; filter replacement:critical","deep maintenance is strongly recommended","2025-10"
"1005","120 sqm home | elderly user | anti-slip tile","manual operation:78 percent; scheduled cleaning:4 times per week","battery degradation:37 percent; water tank:not activated","battery inspection and voice-control setup recommended","2025-10"
"1006","150 sqm multi-level home | children | multiple floors","floor transition failures:1 per week; toy avoidance:85 percent","side brush condition:good; dust bag use:1 per month","large-home performance is stable","2025-10"
"1007","55 sqm one-bedroom | solo user | laminate floor","coverage:95%; daily cleaning:42 sqm; edge cleaning:stable","filter life:35 days left; dustbin cleared:every 5 days","excellent small-home consistency","2025-10"
